,2020-05-26
145,幻惑·：不打折谁买…打折说不定买买还能做一下慈善，上个月读书日我就买了🐶 东300多三套书，三体全套，鬼吹灯全套，法医秦明全套，不打折我一套不买
146,陈小溪与河流：对的。关键是保障出版社的利益了，消费者的利益谁来保障
147,银河系小英：脑子啊
148,逗逗笑鸭：现在时代在改变，一切东西都在发展，可能很多人现在不会选择纸质图书，这也是一种趋势和发展规律，如果强行要求真没必要
149,菲儿-fire：不打折书店死得更快
150,7浅溪流光7：正版书籍通常价格不菲 书店的生存问题 靠限制打折有点可笑 不如好好打击盗版 创新销售模式
151,竹林雨不歇：有些代表的提案真的需要好好下功夫了。
152,福州锦绣前程：反倾销。
153,Mw-鹿鹿哦哦哦：这又是一个猪脑子代表，太奇葩了
154,凤翔九重天：书店经营成本高，可以呼吁降房价，减租金
155,请叫我白羊爸爸：今年的提议怎么这么多奇葩
156,大树苍_ROBIN：要脸么？
157,bazzinga_dc：怕倒闭，1万一本不就完了么？这些人是咋选出来的，就这水平
158,ZHOUOUI：一个不爱读书的国家
159,只待燕归来：天欲灭之，救之徒劳
160,LuuuunaLOVEGOOD：限制打折，强行定价不考虑市场的话，怕是图书电商也凉凉吧……实际情况就是现在一年到头买书基本都是打折满减一次会买很多，如果太贵的话，一般就选择用我的泡面搭档看书了
161,王奇10：这届代表不行。。。。
162,阳光的sjsj：这是讲相声吗
163,坚持差不多：定价不限制？限制打折？就这脑子当人大代表？
164,牛头山大猩猩：如果真的想不出提案，就不要勉强了
165,afwang：政协多奇葩
166,取个名好难F：我也觉得，最近看到好几个政协都是奇葩提议
167,拉丁美洲的喵：建议大会结束后 出一个投票 你认为那个小学生的提案更奇葩
168,草泥马先锋网信保护伞：请人大代表政协委员关注先锋网信特大集资诈骗犯罪案件快一年了还不能进入刑事程序的不正常状况
169,颗颗今天一百斤了吗：……
170,主持人王者：要不要立法规定人均买两本书啊？本来书店想打折求生存，结果你不让打折！不打折就一定能卖出去吗？真是一个比一个奇葩！
171,蓝莓船0013：啊？电商卖出的书，读起来不如线下的香？
172,秀丽之山河：多数国家规定，图书在出版后6个月到2年时间内只能在书展、读书日等特别时日，面向学校、图书馆等公共机构可打折销售平装书，且折扣率须在5%至20%之间。
