词语,tfidf值
督察组,0.00026828494290833836
。不要,0.00026828494290833836
相遇,0.00026828494290833836
人命,0.00026828494290833836
两万,0.00026828494290833836
各种,0.0002675163086731779
责任,0.0002675163086731779
没什么,0.00026555606731979624
返航,0.00026493138112198417
！生日快乐生日快乐,0.00026493138112198417
网易,0.00026493138112198417
？群体,0.00026493138112198417
人话,0.00026493138112198417
成语,0.00026493138112198417
床位,0.00026470034752924977
？韩国,0.00026188438638532157
支援,0.00026188438638532157
老子,0.00026157781933562987
不至于,0.00026157781933562987
报应,0.00026157781933562987
直属,0.00026157781933562987
坚定,0.00026157781933562987
孩子,0.0002606295327711045
请勿,0.0002582242575492757
完事,0.0002582242575492757
键盘,0.0002562524640974652
垃圾,0.0002562524640974652
阳间,0.00025487069576292143
乐园,0.00025487069576292143
？R,0.00025487069576292143
里面,0.00025487069576292143
年轻,0.000253436502953537
病人,0.000253436502953537
去过,0.00025182040866532395
老几,0.0002515171339765672
勇闯,0.0002515171339765672
芳芳,0.0002515171339765672
医学,0.000248163572190213
精英,0.000248163572190213
治愈率,0.000248163572190213
肢解,0.000248163572190213
？没,0.000248163572190213
旁边,0.00024780458066568065
看出,0.00024780458066568065
友好,0.00024498861952175244
取出,0.00024481001040385875
我家,0.00024481001040385875
西班牙,0.00024481001040385875
